Method,Power_mW,Bead_ID,Intensity_920,Intensity_Ref_1030,Crosstalk_Ratio
Traditional,3,9,16584.4325966851,19225.73125,0.862616478979705
Traditional,3,10,12731.3111979167,20550.7171052632,0.619506907360235
Traditional,3,11,13827.4125,19818.4994594595,0.697702292158154
Traditional,3,12,8559.67358974359,16187.2507653061,0.528791066120345
With DUET,3.5,1,37.710597826086,14117.6378306878,0.00267116909204978
With DUET,3.5,2,221.393093922651,18641.0002747253,0.0118766745700246
With DUET,3.5,3,236.040575916229,22016.3923076923,0.0107211287216098
With DUET,3.5,4,120.038918918918,21062.9540540541,0.0056990543022057
With DUET,3.5,5,718.876562499999,22280.2028205128,0.0322652611509509
With DUET,3.5,6,36.8356741573027,12880.9549450549,0.0028597005668003
With DUET,3.5,7,50.154143646408,13431.7948087432,0.00373398673524711
With DUET,3.5,8,111.677157360405,20951.8934343434,0.00533017016864684
With DUET,3.5,9,210.528453038673,19225.73125,0.0109503482755005
With DUET,3.5,10,109.481937172774,20550.7171052632,0.00532740228051384
With DUET,3.5,11,131.797593582887,19818.4994594595,0.00665023070250553
With DUET,3.5,12,43.5402564102555,16187.2507653061,0.00268978698369056
Traditional,3.5,1,8363.43548387097,14117.6378306878,0.592410400675613
Traditional,3.5,2,23129.0737569061,18641.0002747253,1.24076355431774
Traditional,3.5,3,23069.4136125654,22016.3923076923,1.04782896716939
Traditional,3.5,4,18622.5770053476,21062.9540540541,0.8841388989197
Traditional,3.5,5,27480.8812182741,22280.2028205128,1.23342150157507
Traditional,3.5,6,7789.05303867403,12880.9549450549,0.604695309617885
Traditional,3.5,7,8793.77783783784,13431.7948087432,0.654698643260519
Traditional,3.5,8,17212.8051980198,20951.8934343434,0.821539363588272
Traditional,3.5,9,21570.7688888889,19225.73125,1.12197391133764
Traditional,3.5,10,16332.0564766839,20550.7171052632,0.794719541562917
Traditional,3.5,11,17949.6962162162,19818.4994594595,0.905704099996771
Traditional,3.5,12,10885.2802030457,16187.2507653061,0.672460095964902
With DUET,4,1,47.9896276595736,14117.6378306878,0.00339926751451701
With DUET,4,2,297.963736263735,18641.0002747253,0.0159843212205589
With DUET,4,3,274.868877551019,22016.3923076923,0.0124847374496948
With DUET,4,4,157.930526315788,21062.9540540541,0.00749802358731304
With DUET,4,5,1012.2332460733,22280.2028205128,0.0454319583276576
With DUET,4,6,41.0751396648038,12880.9549450549,0.00318882721351127
With DUET,4,7,59.7710382513652,13431.7948087432,0.00444996659809443
With DUET,4,8,134.519999999999,20951.8934343434,0.00642042211705312
With DUET,4,9,279.373480662982,19225.73125,0.0145312278128813
With DUET,4,10,138.921282051281,20550.7171052632,0.00675992381870228
With DUET,4,11,172.316577540106,19818.4994594595,0.00869473382142755
With DUET,4,12,62.6964467005064,16187.2507653061,0.00387319919914274
Traditional,4,1,10432.8983695652,14117.6378306878,0.73899745089699
Traditional,4,2,27739.399726776,18641.0002747253,1.48808536655551
Traditional,4,3,27016.0054973822,22016.3923076923,1.22708594213881
Traditional,4,4,22634.1527173913,21062.9540540541,1.07459536109252
Traditional,4,5,31892.5886010363,22280.2028205128,1.43143170005946
Traditional,4,6,9730.40875706215,12880.9549450549,0.755410510988371
Traditional,4,7,10956.0933333333,13431.7948087432,0.815683494971325
Traditional,4,8,20832.1883838384,20951.8934343434,0.99428667147052
Traditional,4,9,25428.2883977901,19225.73125,1.32261748940187
Traditional,4,10,19731.9671875,20550.7171052632,0.960159545111277
Traditional,4,11,21271.7148648649,19818.4994594595,1.0733262075859
Traditional,4,12,13558.9946428571,16187.2507653061,0.837634187512429
